,day,coustomer,wine,region,price,Popularity
256,day4,a2,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
257,day4,a2,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
258,day4,a2,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
259,day4,a2,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
260,day4,a2,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
261,day4,a2,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
262,day4,a2,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
263,day4,a2,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
264,day4,a2,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
265,day4,a2,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
266,day4,a2,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
267,day4,a2,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
268,day4,a2,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
269,day4,a2,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
270,day4,a2,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
271,day4,a2,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
272,day4,a2,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
273,day4,a2,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
274,day4,a2,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
275,day4,a2,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
276,day4,a3,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
277,day4,a3,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
278,day4,a3,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
279,day4,a3,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
280,day4,a3,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
281,day4,a3,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
282,day4,a3,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
283,day4,a3,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
284,day4,a3,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
285,day4,a3,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
286,day4,a3,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
287,day4,a3,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
288,day4,a3,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
289,day4,a3,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
290,day4,a3,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
291,day4,a3,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
292,day4,a3,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
293,day4,a3,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
294,day4,a3,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
295,day4,a3,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
296,day4,a4,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
297,day4,a4,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
298,day4,a4,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
299,day4,a4,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
300,day4,a4,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
301,day4,a4,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
302,day4,a4,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
303,day4,a4,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
304,day4,a4,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
305,day4,a4,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
306,day4,a4,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
307,day4,a4,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
308,day4,a4,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
309,day4,a4,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
310,day4,a4,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
311,day4,a4,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
312,day4,a4,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
313,day4,a4,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
314,day4,a4,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
315,day4,a4,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
316,day4,a5,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
317,day4,a5,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
318,day4,a5,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
319,day4,a5,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
320,day4,a5,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
321,day4,a5,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
322,day4,a5,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
323,day4,a5,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
324,day4,a5,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
325,day4,a5,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
326,day4,a5,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
327,day4,a5,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
328,day4,a5,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
329,day4,a5,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
330,day4,a5,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
331,day4,a5,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
332,day4,a5,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
333,day4,a5,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
334,day4,a5,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
335,day4,a5,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
336,day4,a6,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
337,day4,a6,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
338,day4,a6,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
339,day4,a6,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
340,day4,a6,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
341,day4,a7,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
342,day4,a7,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
343,day4,a7,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
344,day4,a7,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
345,day4,a7,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
346,day4,a8,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
347,day4,a8,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
348,day4,a8,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
349,day4,a8,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
350,day4,a8,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
351,day4,a9,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
352,day4,a9,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
353,day4,a9,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
354,day4,a9,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
355,day4,a9,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
356,day4,a10,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
357,day4,a10,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
358,day4,a10,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
359,day4,a10,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
360,day4,a10,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
361,day4,a11,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
362,day4,a11,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
363,day4,a11,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
364,day4,a11,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
365,day4,a11,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
366,day4,a12,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
367,day4,a12,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
368,day4,a12,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
369,day4,a12,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
370,day4,a12,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
371,day4,a12,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
372,day4,a12,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
373,day4,a12,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
374,day4,a12,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
375,day4,a12,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
376,day4,a12,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
377,day4,a13,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
378,day4,a13,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
379,day4,a13,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
380,day4,a13,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
381,day4,a13,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
382,day4,a13,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
383,day4,a13,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
384,day4,a13,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
385,day4,a13,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
386,day4,a13,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
387,day4,a13,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
388,day4,a14,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
389,day4,a14,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
390,day4,a14,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
391,day4,a14,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
392,day4,a14,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
393,day4,a14,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
394,day4,a14,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
395,day4,a14,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
396,day4,a14,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
397,day4,a14,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
398,day4,a14,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
399,day4,a15,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
400,day4,a15,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
401,day4,a15,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
402,day4,a15,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
403,day4,a15,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
404,day4,a15,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
405,day4,a15,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
406,day4,a15,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
407,day4,a15,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
408,day4,a15,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
409,day4,a15,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
410,day4,a16,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
411,day4,a16,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
412,day4,a16,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
413,day4,a16,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
414,day4,a16,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
415,day4,a16,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
416,day4,a16,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
417,day4,a16,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
418,day4,a16,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
419,day4,a16,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
420,day4,a16,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
421,day4,a17,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
422,day4,a17,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
423,day4,a17,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
424,day4,a17,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
425,day4,a17,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
426,day4,a17,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
427,day4,a17,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
428,day4,a17,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
429,day4,a17,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
430,day4,a17,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
431,day4,a17,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
432,day3,a0,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
433,day3,a0,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
434,day3,a0,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
435,day3,a0,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
436,day3,a0,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
437,day3,a0,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
438,day3,a0,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
439,day3,a0,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
440,day3,a0,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
441,day3,a0,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
442,day3,a0,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
443,day3,a0,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
444,day3,a0,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
445,day3,a0,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
446,day3,a0,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
447,day3,a0,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
448,day3,a0,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
449,day3,a0,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
450,day3,a0,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
451,day3,a0,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
452,day3,a1,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
453,day3,a1,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
454,day3,a1,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
455,day3,a1,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
456,day3,a1,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
457,day3,a1,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
458,day3,a1,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
459,day3,a1,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
460,day3,a1,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
461,day3,a1,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
462,day3,a1,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
463,day3,a1,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
464,day3,a1,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
465,day3,a1,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
466,day3,a1,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
467,day3,a1,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
468,day3,a1,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
469,day3,a1,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
470,day3,a1,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
471,day3,a1,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
472,day3,a2,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
473,day3,a2,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
474,day3,a2,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
475,day3,a2,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
476,day3,a2,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
477,day3,a2,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
478,day3,a2,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
479,day3,a2,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
480,day3,a2,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
481,day3,a2,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
482,day3,a2,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
483,day3,a2,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
484,day3,a2,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
485,day3,a2,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
486,day3,a2,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
487,day3,a2,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
488,day3,a2,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
489,day3,a2,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
490,day3,a2,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
491,day3,a2,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
492,day3,a3,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
493,day3,a3,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
494,day3,a3,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
495,day3,a3,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
496,day3,a3,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
497,day3,a3,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
498,day3,a3,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
499,day3,a3,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
500,day3,a3,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
501,day3,a3,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
502,day3,a3,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
503,day3,a3,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
504,day3,a3,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
505,day3,a3,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
506,day3,a3,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
507,day3,a3,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
508,day3,a3,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
509,day3,a3,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
510,day3,a3,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
511,day3,a3,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
