,day,coustomer,wine,region,price,Popularity,bool,bool2
234,day4,a0,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
235,day4,a0,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,$402,1318,1,1
236,day4,a1,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,1,1
237,day4,a1,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960,1,1
238,day4,a1,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982,1,1
239,day4,a1,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993,1,1
240,day4,a1,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033,1,1
241,day4,a1,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,$94,1041,1,1
242,day4,a1,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100,1,1
243,day4,a1,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101,1,1
244,day4,a1,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124,1,1
245,day4,a1,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148,1,1
246,day4,a1,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167,1,1
247,day4,a1,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
248,day4,a1,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,$75,1205,1,1
249,day4,a1,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217,1,1
250,day4,a1,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$126,1266,1,1
251,day4,a1,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291,1,1
252,day4,a1,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297,1,1
253,day4,a1,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297,1,1
254,day4,a1,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
255,day4,a1,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,$402,1318,1,1
256,day4,a2,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,1,1
257,day4,a2,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960,1,1
258,day4,a2,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982,1,1
259,day4,a2,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993,1,1
260,day4,a2,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033,1,1
261,day4,a2,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,$94,1041,1,1
262,day4,a2,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092,1,1
263,day4,a2,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101,1,1
264,day4,a2,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,1,1
265,day4,a2,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124,1,1
266,day4,a2,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,$27,1130,1,1
267,day4,a2,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167,1,1
268,day4,a2,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
269,day4,a2,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,$75,1205,1,1
270,day4,a2,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217,1,1
271,day4,a2,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291,1,1
272,day4,a2,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297,1,1
273,day4,a2,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297,1,1
274,day4,a2,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
275,day4,a2,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,$402,1318,1,1
276,day4,a3,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,1,1
277,day4,a3,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960,1,1
278,day4,a3,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993,1,1
279,day4,a3,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033,1,1
280,day4,a3,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,$94,1041,1,1
281,day4,a3,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051,1,1
282,day4,a3,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092,1,1
283,day4,a3,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101,1,1
284,day4,a3,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,1,1
285,day4,a3,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,$27,1130,1,1
286,day4,a3,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148,1,1
287,day4,a3,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167,1,1
288,day4,a3,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,$75,1205,1,1
289,day4,a3,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217,1,1
290,day4,a3,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$126,1266,1,1
291,day4,a3,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291,1,1
292,day4,a3,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297,1,1
293,day4,a3,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297,1,1
294,day4,a3,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
295,day4,a3,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,$402,1318,1,1
296,day4,a4,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,1,1
297,day4,a4,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993,1,1
298,day4,a4,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051,1,1
299,day4,a4,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092,1,1
300,day4,a4,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100,1,1
301,day4,a4,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101,1,1
302,day4,a4,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,1,1
303,day4,a4,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124,1,1
304,day4,a4,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,$27,1130,1,1
305,day4,a4,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,$153,1142,1,1
306,day4,a4,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148,1,1
307,day4,a4,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167,1,1
308,day4,a4,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
309,day4,a4,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,$75,1205,1,1
310,day4,a4,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217,1,1
311,day4,a4,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$126,1266,1,1
312,day4,a4,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297,1,1
313,day4,a4,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297,1,1
314,day4,a4,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
315,day4,a4,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,$402,1318,1,1
316,day4,a5,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,1,1
317,day4,a5,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982,1,1
318,day4,a5,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993,1,1
319,day4,a5,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033,1,1
320,day4,a5,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,$94,1041,1,1
321,day4,a5,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051,1,1
322,day4,a5,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092,1,1
323,day4,a5,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101,1,1
324,day4,a5,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,1,1
325,day4,a5,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124,1,1
326,day4,a5,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,$27,1130,1,1
327,day4,a5,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,$153,1142,1,1
328,day4,a5,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148,1,1
329,day4,a5,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167,1,1
330,day4,a5,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
331,day4,a5,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,$75,1205,1,1
332,day4,a5,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217,1,1
333,day4,a5,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291,1,1
334,day4,a5,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297,1,1
335,day4,a5,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
336,day4,a6,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960,1,1
337,day4,a6,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,$94,1041,1,1
338,day4,a6,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,$27,1130,1,1
339,day4,a6,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$126,1266,1,1
340,day4,a6,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
341,day4,a7,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148,1,1
342,day4,a7,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
343,day4,a7,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217,1,1
344,day4,a7,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297,1,1
345,day4,a7,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
346,day4,a8,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051,18,18
347,day4,a8,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092,18,18
348,day4,a8,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100,18,18
349,day4,a8,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124,18,18
350,day4,a8,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$126,1266,18,18
351,day4,a9,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,19,19
352,day4,a9,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100,19,19
353,day4,a9,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,19,19
354,day4,a9,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,$153,1142,19,19
355,day4,a9,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167,19,19
356,day4,a10,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,1,1
357,day4,a10,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993,1,1
358,day4,a10,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101,1,1
359,day4,a10,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148,1,1
360,day4,a10,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291,1,1
361,day4,a11,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993,1,1
362,day4,a11,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051,1,1
363,day4,a11,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148,1,1
364,day4,a11,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291,1,1
365,day4,a11,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
366,day4,a12,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960,1,1
367,day4,a12,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,$94,1041,1,1
368,day4,a12,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051,1,1
369,day4,a12,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092,1,1
370,day4,a12,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,1,1
371,day4,a12,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,$27,1130,1,1
372,day4,a12,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
373,day4,a12,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217,1,1
374,day4,a12,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$126,1266,1,1
375,day4,a12,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291,1,1
376,day4,a12,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297,1,1
377,day4,a13,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033,1,1
378,day4,a13,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092,1,1
379,day4,a13,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101,1,1
380,day4,a13,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,1,1
381,day4,a13,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124,1,1
382,day4,a13,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,$153,1142,1,1
383,day4,a13,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148,1,1
384,day4,a13,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
385,day4,a13,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,$75,1205,1,1
386,day4,a13,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$126,1266,1,1
387,day4,a13,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297,1,1
388,day4,a14,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960,1,1
389,day4,a14,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982,1,1
390,day4,a14,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051,1,1
391,day4,a14,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101,1,1
392,day4,a14,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,1,1
393,day4,a14,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,$27,1130,1,1
394,day4,a14,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167,1,1
395,day4,a14,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
396,day4,a14,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297,1,1
397,day4,a14,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297,1,1
398,day4,a14,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
399,day4,a15,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,1,1
400,day4,a15,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993,1,1
401,day4,a15,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033,1,1
402,day4,a15,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100,1,1
403,day4,a15,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,1,1
404,day4,a15,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167,1,1
405,day4,a15,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
406,day4,a15,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297,1,1
407,day4,a15,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297,1,1
408,day4,a15,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
409,day4,a15,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,$402,1318,1,1
410,day4,a16,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,1,1
411,day4,a16,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960,1,1
412,day4,a16,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982,1,1
413,day4,a16,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993,1,1
414,day4,a16,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100,1,1
415,day4,a16,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101,1,1
416,day4,a16,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,1,1
417,day4,a16,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
418,day4,a16,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217,1,1
419,day4,a16,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291,1,1
420,day4,a16,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297,1,1
421,day4,a17,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960,1,1
422,day4,a17,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051,1,1
423,day4,a17,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092,1,1
424,day4,a17,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100,1,1
425,day4,a17,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124,1,1
426,day4,a17,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,$27,1130,1,1
427,day4,a17,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148,1,1
428,day4,a17,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
429,day4,a17,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297,1,1
430,day4,a17,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297,1,1
431,day4,a17,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
432,day3,a0,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,1,1
433,day3,a0,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982,1,1
434,day3,a0,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033,1,1
435,day3,a0,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,$94,1041,1,1
436,day3,a0,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051,1,1
437,day3,a0,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092,1,1
438,day3,a0,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100,1,1
439,day3,a0,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101,1,1
440,day3,a0,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,1,1
441,day3,a0,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124,1,1
442,day3,a0,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,$27,1130,1,1
443,day3,a0,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148,1,1
444,day3,a0,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167,1,1
445,day3,a0,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
446,day3,a0,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,$75,1205,1,1
447,day3,a0,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$126,1266,1,1
448,day3,a0,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291,1,1
449,day3,a0,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297,1,1
450,day3,a0,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
451,day3,a0,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,$402,1318,1,1
452,day3,a1,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,1,1
453,day3,a1,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960,1,1
454,day3,a1,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982,1,1
455,day3,a1,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993,1,1
456,day3,a1,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033,1,1
457,day3,a1,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092,1,1
458,day3,a1,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100,1,1
459,day3,a1,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101,1,1
460,day3,a1,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,1,1
461,day3,a1,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124,1,1
462,day3,a1,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,$27,1130,1,1
463,day3,a1,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,$153,1142,1,1
464,day3,a1,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148,1,1
465,day3,a1,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167,1,1
466,day3,a1,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,$75,1205,1,1
467,day3,a1,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217,1,1
